asset_id,price,size,side,timestamp
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209907302
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209907302
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209907302
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209907302
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209907599
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209907599
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209907599
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209907599
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209908338
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209908338
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209908338
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209908338
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209908609
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209908609
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209908609
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209908609
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209909009
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209909009
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209909009
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209909009
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209909091
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209909091
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209909091
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209909091
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209909414
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209909414
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209909414
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209909414
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209910500
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209910500
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209910500
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209910500
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209911437
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209911437
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209911437
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209911437
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209911544
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209911544
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209911544
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209911544
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209911637
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209911637
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209911637
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209911637
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209911728
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209911728
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209911728
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209911728
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209921076
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209921076
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209921076
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209921076
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209921886
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209921886
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209921886
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209921886
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209922888
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209922888
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,26.58,bid,1750209922888
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.43,26.58,bid,1750209922888
76440473074388722537799893602404687230922238288182630419521127770642474448937,0.42,55.42,bid,1750209923240
5899348323059455657630528606815138588415095483052205208567031442326527433126,0.55,55.42,bid,1750209923240
