market_slug,market_id,asset_id,outcome_name,event_type,price,side,size,hash,timestamp
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.98,SELL,250.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.75,SELL,5000.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.7,SELL,200.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.45,SELL,10.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.44,SELL,22844.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.43,SELL,1300.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.42,SELL,60.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.41,SELL,9400.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.4,SELL,28598.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.39,SELL,9773.2,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.38,SELL,123046.62,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.37,SELL,245488.22,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.36,SELL,138.67,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.01,BUY,39.06,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.25,BUY,5000.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.28,BUY,28764.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.29,BUY,50.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.3,BUY,80.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.31,BUY,9045.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.32,BUY,38851.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.33,BUY,84848.0,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.34,BUY,148914.2,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,book,0.35,BUY,137355.96,4563f08cba3b66f71e2f6ae15c4dd4a0ceefc76d,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.99,SELL,39.06,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.75,SELL,5000.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.72,SELL,28764.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.71,SELL,50.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.7,SELL,80.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.69,SELL,9045.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.68,SELL,38851.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.67,SELL,84848.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.66,SELL,148914.2,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.65,SELL,137355.96,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.02,BUY,250.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.25,BUY,5000.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.3,BUY,200.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.55,BUY,10.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.56,BUY,22844.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.57,BUY,1300.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.58,BUY,60.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.59,BUY,9400.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.6,BUY,28598.0,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.61,BUY,9773.2,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.62,BUY,123046.62,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.63,BUY,245488.22,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,book,0.64,BUY,138.67,1715039a795e940ae5d5ed77852561a18ece8254,1751413831246
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,price_change,0.65,SELL,175730.24,8663bb725ac1060559e4933d0e94f34af9e59d75,1751413843811
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,price_change,0.35,BUY,175730.24,c057dcc09590f87b1359aa1c964effd449697d45,1751413843811
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,price_change,0.34,BUY,109411.26,b7dc78ef536f3dbd6dfc5a07d17596dcab00dadc,1751413844804
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,price_change,0.66,SELL,109411.26,088dedb9b20b119e93a9efeaf8d1f1dd1e48a91d,1751413844804
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,price_change,0.34,BUY,79411.26,aca6a14e2a0680fbaca0f1ce6f3cccbaffd08e00,1751413849962
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,,price_change,0.38,SELL,93046.62,aca6a14e2a0680fbaca0f1ce6f3cccbaffd08e00,1751413849962
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,price_change,0.66,SELL,79411.26,095eec65600f345f7a2e0bd6dfabcfd61865fe8d,1751413849962
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,,price_change,0.62,BUY,93046.62,095eec65600f345f7a2e0bd6dfabcfd61865fe8d,1751413849962
