market_slug,market_id,asset_id,outcome_name,side,order_type,price,size,timestamp
mlb-cle-chc-2025-07-01,557550,83443582211669028962185753453629733122458056229903585635443114554088707521863,Guardians,BUY,FOK,0.001,24,1751423481227
mlb-cle-chc-2025-07-01,557550,96111207991697153937305170411655322709565978080946815214876408990237374894857,Cubs,BUY,FOK,0.997,24,1751423481227
