trade_dttm,trader_id,trader_name,side,amount,price,value,event_id,market_title,market_subtitle,outcome,market_icon,trader_tags
2025-05-30 18:13:59,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,37.26,0.007,0.26082,25402,FIFA Club World Cup Winner ,Urawa Red Diamonds,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/fifa-club-world-cup-winner-6QLWT9ktpjYD.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 18:13:41,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,166.23,0.8900000000000001,147.9447,25475,"Ethereum Price - May 30, 5PM ET",2500-2600,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 18:13:41,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,166.23,0.039,6.48297,25475,"Ethereum Price - May 30, 5PM ET",<2500,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 18:13:41,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,166.23,0.08000000000000002,13.2984,25475,"Ethereum Price - May 30, 5PM ET",2600-2700,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 18:10:47,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,32.0,0.029,0.928,23803,May Unemployment Rate,4.5%,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/march-unemployment-rate-wpcB-Q7lTi_r.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 18:04:21,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,200.0,0.042,8.4,22254,Next president of South Korea?,Kim Moon-soo,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-kim-moon-soo-be-elected-the-next-president-of-south-korea-pXc6g7whOOGX.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 18:04:21,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,200.0,0.006999999999999999,1.4,22254,Next president of South Korea?,Lee Jun-seok,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-lee-jun-seok-be-elected-the-next-president-of-south-korea-t1jWVQo8JDG_.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 18:04:21,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,200.0,0.9520000000000001,190.4,22254,Next president of South Korea?,Lee Jae-myung,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-lee-jae-myung-be-elected-the-next-president-of-south-korea-t2ahMHY7MNoo.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 17:53:07,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,7.89,0.14,1.1046,24796,Poland Presidential Election Margin of Victory,Trzaskowski 4-8%,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-win-by-4-8-lta4KryArdHZ.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 17:53:07,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,cry.eth2,sell,7.89,0.004,0.03156,24796,Poland Presidential Election Margin of Victory,Nawrocki >8%,Yes,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-win-by-over-8-3uWqxRlq3G1y.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions
