trade_dttm,trader_id,trader_name,side,amount,price,value,event_id,market_title,market_subtitle,outcome,market_icon,trader_tags
2025-05-30 16:36:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.48,4.8,24207,Which country will Pope Leo visit first?,Turkey,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-country-will-pope-leo-visit-first-ynsPn_XwAyLu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:36:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.89,8.9,24207,Which country will Pope Leo visit first?,Peru,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-country-will-pope-leo-visit-first-ynsPn_XwAyLu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:36:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.9880000000000001,9.88,24207,Which country will Pope Leo visit first?,Mexico,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-country-will-pope-leo-visit-first-ynsPn_XwAyLu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:36:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.945,9.45,24207,Which country will Pope Leo visit first?,U.S.,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-country-will-pope-leo-visit-first-ynsPn_XwAyLu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:36:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.915,9.15,24207,Which country will Pope Leo visit first?,Argentina,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-country-will-pope-leo-visit-first-ynsPn_XwAyLu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:36:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.9480000000000001,9.48,24207,Which country will Pope Leo visit first?,Ukraine,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-country-will-pope-leo-visit-first-ynsPn_XwAyLu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:36:19,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,10.0,0.9789999999999999,9.79,24207,Which country will Pope Leo visit first?,Philippines,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-country-will-pope-leo-visit-first-ynsPn_XwAyLu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:13:23,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,230.0,0.387,89.01,14874,Poland Presidential Election,Rafał Trzaskowski,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-be-the-next-president-of-poland-idcXVojxVfkb.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:13:23,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,230.0,0.612,140.76,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:04:39,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,20.0,0.8560000000000001,17.12,24433,May Inflation - Annual,2.3%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/january-inflation-annual-vp5qkgK2R7Et.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 16:03:29,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,9.924345,0.31000000503811587,3.076547,23813,How many Executive Orders will Trump sign in May?,15-19,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/how-many-executive-orders-will-trump-sign-in-february-yNd2eOKrgBfO.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:59:53,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,800.0,0.002,1.6,25099,Bitcoin price on May 30?,<106K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:59:51,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,800.0,0.995,796.0,25099,Bitcoin price on May 30?,106–108K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:59:51,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,800.0,0.002,1.6,25099,Bitcoin price on May 30?,<106K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:56:35,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,800.0,0.98,784.0,25099,Bitcoin price on May 30?,106–108K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:56:35,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,800.0,0.017,13.600000000000001,25099,Bitcoin price on May 30?,<106K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:23:37,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,620.0,0.8099999999999999,502.2,25099,Bitcoin price on May 30?,106–108K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:23:37,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,620.0,0.17,105.4,25099,Bitcoin price on May 30?,<106K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:23:05,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,100.0,0.85,85.0,25099,Bitcoin price on May 30?,106–108K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:23:05,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,100.0,0.15,15.0,25099,Bitcoin price on May 30?,<106K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:23:05,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,100.0,0.998,99.8,25099,Bitcoin price on May 30?,108–110K,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:10:21,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,100.0,0.027999999999999997,2.8,23631,Largest company end of May?,Microsoft,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/largest-company-eoy-KS99l6lbxfCc.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:10:21,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,100.0,0.971,97.1,23631,Largest company end of May?,NVIDIA,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/largest-company-eoy-KS99l6lbxfCc.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-05-30 15:10:01,0xb49f468c15c49783f2664c7198a4949ade1b12e6,dadadabababab,buy,5.0,0.65,3.25,21386,Indian Premier League Champion 2025,Mumbai Indians ,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/indian-premier-league-champion-2025-1QvEZ1gUmIUK.jpg,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
