trade_dttm,trader_id,trader_name,side,amount,price,value,event_id,market_title,market_subtitle,outcome,market_icon,trader_tags
2025-01-12 01:43:58,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,2980.54,0.999,2977.55946,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:43:58,0x35aae4198a356386fa2b6a75e27ec4b0e0ec94bc,CHB77,sell,2980.54,0.999,2977.55946,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL < -$10k
2025-01-12 01:43:30,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,205.98,0.9990000000000001,205.77402,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:43:30,0x6d6133a9bef371d76aef6fea28832da5de9375cf,MaverickMoves,sell,205.98,0.9990000000000001,205.77402,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 01:42:44,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,4156.27,0.9989999999999999,4152.11373,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:42:44,0xdf933b45bf02e6f10002da22ea32a7cff08fbdc8,CitizenScientist,sell,4156.27,0.9989999999999999,4152.11373,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL < -$10k; Overall Win Rate > 67%; 1k+ Positions
2025-01-12 01:30:38,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,23.8,0.9989999999999999,23.7762,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:30:38,0x25ddd0cfe0462f73f18bd13a0aec60ed1ad41a7b,hinooosss,sell,23.8,0.9989999999999999,23.7762,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:29:12,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,803.94,0.999,803.13606,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:29:12,0xa89580ce3e0c77b67d2e0571faa980a3a36d4935,Lucilius,sell,803.94,0.999,803.13606,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:21:32,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,930.17,0.999,929.23983,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
