trade_dttm,trader_id,trader_name,side,amount,price,value,event_id,market_title,market_subtitle,outcome,market_icon,trader_tags
2025-05-30 17:08:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,5.0,0.5700000000000001,2.8500000000000005,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:08:07,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,5.0,0.5690000000000001,2.845,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:07:51,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,3.030302,0.3400001056000359,1.030303,25222,Giro d'Italia 2025 Winner ,Isaac Del Toro,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/giro-ditalia-2025-winner-RK5NBqRUeMTK.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:06:43,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,190.0,0.432,82.08,14874,Poland Presidential Election,Rafał Trzaskowski,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-be-the-next-president-of-poland-idcXVojxVfkb.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:06:43,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,190.0,0.5670000000000001,107.73000000000002,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:43,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,194.04,0.44,85.3776,14874,Poland Presidential Election,Rafał Trzaskowski,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-be-the-next-president-of-poland-idcXVojxVfkb.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:43,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,194.040631,0.5570000027468474,108.080632,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:35,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.19,0.6,6.114,24796,Poland Presidential Election Margin of Victory,Trzaskowski 0-4%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-win-by-0-4-gV8HAhwJbyRU.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.19,0.9960000000000001,10.14924,24796,Poland Presidential Election Margin of Victory,Nawrocki >8%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-win-by-over-8-3uWqxRlq3G1y.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.19,0.8600000000000001,8.7634,24796,Poland Presidential Election Margin of Victory,Trzaskowski 4-8%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-win-by-4-8-lta4KryArdHZ.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.19,0.63,6.4197,24796,Poland Presidential Election Margin of Victory,Nawrocki 0-4%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-win-by-0-4-8Jd5hK7_rtO4.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.19,0.988,10.06772,24796,Poland Presidential Election Margin of Victory,Trzaskowski >12%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-win-by-over-12-nw--ns8efGiC.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.19,0.9600000000000002,9.7824,24796,Poland Presidential Election Margin of Victory,Nawrocki 4-8%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-win-by-4-8-P7izAHrUVUa4.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,0.19,0.9650000000000001,0.18335,24796,Poland Presidential Election Margin of Victory,Trzaskowski 8-12%,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-win-by-8-12-M36xIDPp8MeR.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:05:05,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.0,0.437,4.37,14874,Poland Presidential Election,Rafał Trzaskowski,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-be-the-next-president-of-poland-idcXVojxVfkb.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:04:59,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,10.0,0.563,5.629999999999999,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:03:53,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,170.0,0.43700000000000006,74.29,14874,Poland Presidential Election,Rafał Trzaskowski,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-be-the-next-president-of-poland-idcXVojxVfkb.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:03:53,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,170.0,0.562,95.54,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:03:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,20.0,0.43499999999999994,8.7,14874,Poland Presidential Election,Rafał Trzaskowski,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-rafa-trzaskowski-be-the-next-president-of-poland-idcXVojxVfkb.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
2025-05-30 17:03:33,0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,buy,20.0,0.564,11.28,14874,Poland Presidential Election,Karol Nawrocki,No,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-karol-nawrocki-be-the-next-president-of-namibia-z_eSKTcwRkOu.jpg,Overall PnL > $100k; Overall Win Rate > 67%; 1k+ Positions; Politics PnL > $100k
